STNID,LAT,LONG,ELV,STN_NAME
BO3079,-17.03333333,-66.36666667,3500,Incachaca_Ayopaya
BO3083,-17.80388889,-65.80083333,3174,Sacabamba
BO3085,-17.9,-66.91666667,2700,Rio Rancho
BO3114,-17.44361111,-65.17138889,2570,Lab. Hidraulica UMSS
BO3261,-16.71,-66.75,1350,Atispaya Maravillas
BO3266,-17.225,-65.88305556,3240,Corani Represa
BO3284,-16.96666667,-66.83333333,3450,Sivingani Ayopaya
BO3287,-17.31666667,-66.25,3500,Titiri
BO3299,-17.38416667,-66.17555556,2572,Sarco
BO3306,-17.13333333,-66.36666667,3500,Incachaca - Quillacollo
BO4001,-18.77194444,-67.50638889,3749,Andamarca
BO4005,-18.1778,-68.7064,3909,Cosapa
BO4008,-17.59638889,-67.50611111,3761,Eucaliptus
BO4012,-17.95277778,-67.07972222,3715,Oruro Aeropuerto
BO4014,-19.23,-66.95972222,3722,Quillacas
BO4019,-19.275,-67.59916667,3726,San Martin
BO4023,-19.13027778,-67.42472222,3751,Ucumasi
BO4026,-17.83694444,-66.81388889,4042,Chillca
BO4027,-17.97472222,-67.08,3716,Cabanha_Forestal_Oruro
BO4028,-19.00777778,-68.71527778,3927,Todo Santos_Or
BO5002,-21.46666667,-67.65,3820,Alota
BO5003,-20.73666667,-67.65833333,3898,Colcha K
BO5004,-20.38333333,-65.46666667,2842,Calcha Nor Chichas
BO5005,-20,-65.65,3270,Caiza D
BO5007,-19.64805556,-65.36111111,3289,Chinoli
BO5008,-19.61666667,-65.5,3370,Challviri
BO5009,-19.85,-66.13333333,3773,Chaquilla
BO5010,-19.66666667,-65.55,3558,Chico Chico
BO5013,-22.1722,-67.8175,4354,Laguna Colorada
BO5014,-20.15,-65.35,3201,Otavi
BO5015,-19.58333333,-65.75,4005,Potosi Los Pinos
BO5016,-19.43333333,-65.78333333,2375,Pampa Soico
BO5017,-21.82916667,-65.55055556,3414,Mojo
BO5018,-20.82222222,-65.64694444,2649,Cotagaita_Mosoj Llajta
BO5019,-18.81666667,-66.03333333,3581,Macha
BO5020,-19.79722222,-65.50333333,3281,Puna
BO5021,-20.68333333,-65.43333333,2521,Palca Higueras
BO5022,-19.68333333,-66.76666667,3819,Rio Mulato
BO5023,-21.08333333,-65.63333333,3250,Ramadas Pti
BO5025,-19.48333333,-65.68333333,3760,Samasa
BO5027,-21.14777778,-67.67555556,3829,San Agustin
BO5028,-21.74638889,-65.82166667,3078,Talina
BO5030,-21.43833333,-65.71527778,3020,Tupiza
BO5031,-19.21666667,-65.81666667,3569,Tinguipaya
BO5033,-20.47222222,-66.83138889,3668,Uyuni
BO5034,-22.08333333,-65.6,3454,Villazon
BO5035,-19.38888889,-65.91027778,3481,Yocalla
BO5036,-19.58333333,-65.55,3449,Chaqui
BO5037,-18.80472222,-65.51194444,3215,Ravelo
BO5039,-20.21555556,-65.49305556,3011,Vitichi
BO5041,-19.88333333,-65.7,3700,Cuchu Ingenio
BO5042,-21.01666667,-67.56666667,3670,Calcha de Lipez
BO5046,-21.6831,-66.6139,4275,San Pablo de Lipez
BO5050,-19.53666667,-65.72083333,3926,Potosi Aeropuerto
BO5052,-18.425,-66.56027778,3792,Llallagua
BO5054,-19.58333333,-64.83333333,2050,Oronkota Pti
BO5058,-20.93333333,-66.21666667,3730,Atocha
BO5060,-20.46666667,-65.61583333,2772,Tumusla
BO5062,-19.31666667,-65.53333333,3526,Colavi
BO5063,-19.38055556,-65.21277778,2645,Casin
BO5065,-18.01666667,-66.08333333,3020,Acasio
BO5066,-20.55,-68.56666667,3630,Abra de Napa
BO5067,-18.06666667,-66.38333333,3700,Sacaca
BO5069,-18.86972222,-66.14916667,3495,Ayoma
BO5073,-19.41666667,-65.18333333,2300,Millares_H
BO5074,-19.0725,-65.9617,3518,Actara
BO5075,-20.31666667,-65.4,3020,Ampa Ampa
BO5076,-21.68333333,-65.53333333,3443,Arenales
BO5078,-21.58333333,-65.6,3420,Charaja
BO5083,-20.18333333,-66.01666667,3531,Tica Tica
BO5084,-19.55,-65.85,3509,Santa Lucia_Pti
BO5097,-21.98333333,-65.55,3400,Chagua
BO5104,-21.56138889,-65.64111111,2860,Chuquiago
BO6001,-21.85555556,-63.29388889,468,Algarrobillas
BO6002,-21.3,-64.46666667,2428,Alto Cajas
BO6004,-21.75,-64.95,3070,Calderillas
BO6005,-21.35,-64.75,2080,Canasmoro
BO6006,-21.90222222,-64.85083333,2100,Canhas
BO6009,-21.49916667,-64.78888889,2004,Coimata
BO6010,-21.25,-65.2,2345,El Puente
BO6011,-21.48333333,-64.63333333,2318,Gamoneda
BO6013,-21.43333333,-64.46666667,2348,Junacas
BO6014,-21.81027778,-64.7975,1919,Juntas
BO6017,-21.17833333,-64.71527778,2731,Leon Cancha
BO6019,-21.88333333,-64.71666667,2010,Padcaya
BO6020,-21.86666667,-63.6,594,Palmar Chico
BO6021,-21.53138889,-63.44194444,463,Palmar Grande
BO6022,-21.7,-64.81666667,1950,Pampa Redonda_H
BO6024,-22.01666667,-64.98333333,3282,Rejara
BO6027,-21.61027778,-64.72,1860,San Jacinto Sud
BO6030,-21.38333333,-64.7,2157,Sella Quebrada
BO6031,-21.54666667,-64.71083333,1861,Tarija Aeropuerto
BO6032,-21.26833333,-65.045,2795,Tomayapo Pueblo
BO6033,-21.30805556,-64.81583333,2261,Trancas
BO6035,-21.25472222,-63.4075,401,Villamontes Aeropuerto
BO6036,-21.96555556,-63.65444444,647,Yacuiba Aeropuerto
BO6037,-21.37222222,-64.55083333,2289,Yesera Norte
BO6039,-22.77083333,-64.31166667,382,Bermejo_Aeropuerto tja
BO6043,-21.54305556,-64.72111111,1864,El Tejar Tarija
BO6044,-21.50305556,-64.17055556,1254,Entre Rios Tarija
BO6052,-21.81888889,-65.32638889,2697,Tojo
BO6053,-21.1475,-64.23472222,881,San Josecito
BO6064,-21.445,-64.03805556,1154,Berety
BO6075,-21.49194444,-64.76111111,1928,Tomatitas
BO6076,-21.53833333,-64.72694444,1867,Ciudad-Tja
BO6082,-21.71666667,-64.68333333,1800,San Nicolas
BO6085,-21.81666667,-64.86666667,2040,Alizos
BO6092,-21.88333333,-64.88333333,1120,Canchasmayu
BO6094,-21.83333333,-63.75,805,Carapari
BO6100,-21.43333333,-64.66666667,2195,San Pedro Buena Vista_tja
BO6110,-21.41666667,-64.75,1900,San Lorenzo
BO6111,-21.53333333,-64.51666667,2210,San Agustin_tja
BO6112,-21.38861111,-64.94694444,3450,Iscayachi - San Antonio
BO6118,-21.77166667,-64.23,1096,Salinas
BO6119,-21.47361111,-64.95138889,3440,Sama Iscayachi
BO6120,-21.49166667,-64.98194444,3495,Sama Cumbre
BO6131,-21.7,-64.63333333,1680,Calamuchita
BO6132,-21.39,-63.41222222,399,Aguaraycito
BO6133,-21.74805556,-64.72944444,1791,Chocloca
BO6134,-22.26694,-64.55444,911,Emborozu
BO6135,-22.4,-64.5,980,Guandacay
BO6136,-21.8,-65.1,3800,Copacabana Taxara
BO6138,-21.36666667,-64.95,3367,El Molino Tomayapo
BO6144,-21.25,-65.2,2345,El Puente (c)
BO6147,-22.43333333,-64.5,698,El Salado
BO6149,-21.34722222,-63.28722222,352,La Vertiente
BO6152,-22.7125,-64.29138889,384,Arrozales - Bermejo
BO6153,-21.5125,-64.97555556,3465,Campanario
BO6154,-21.72527778,-64.65805556,1735,Ce.Na.Vit.
BO6156,-21.75,-64.65,2000,Colon Sud
BO6161,-22.02472222,-64.67666667,1509,La Merced
BO6162,-21.71583333,-64.09555556,1356,Saykan Perulas
BO6164,-21.55666667,-64.77833333,1978,Turumayo
BO6165,-21.46722222,-64.55833333,2092,Yesera Sur
BO6166,-21.415,-63.78138889,717,Palos Blancos Tja
BO6167,-21.66055556,-63.55055556,652,Sachapera
BO6169,-21.26111111,-63.50333333,383,Villamontes Bombeo
BO6174,-24.74166667,-58.83611111,89,Gral Gruguez Paraguay
BO6175,-21.65,-64.53333333,2603,Ladera Centro
BO7001,-18.91972222,-63.40444444,446,Abapo
BO7002,-15.91527778,-63.16916667,241,Asencion De Guarayos
BO7003,-20.43583333,-63.27722222,823,Boyuibe
BO7004,-17.45,-63.66666667,356,Buena Vista Sc
BO7005,-16.78333333,-63.31666667,233,Cabezas
BO7006,-17.91361111,-64.52972222,1833,Comarapa
BO7007,-16.13833333,-62.0275,499,Concepcion_sc
BO7008,-17.75,-62.98333333,356,Cotoca
BO7010,-18.56555556,-63.37916667,579,Florida
BO7011,-16.45,-63.21666667,219,Ingenio Mora
BO7012,-18.1,-63.95,1625,Mairana
BO7013,-18.98333333,-63.7,400,Masicuri
BO7014,-18.11666667,-64.21666667,1379,Mataral
BO7015,-17.11,-63.24166667,254,Minero (Unagro)
BO7016,-17.36027778,-63.24805556,302,Montero_Muyurina
BO7017,-17.21666667,-62.88333333,256,Okinawa I
BO7018,-17.35,-63.4,297,Portachuelo
BO7020,-18.71666667,-64.18333333,2537,Pucara
BO7022,-18.97888889,-57.81916667,133,Puerto Suarez Aeropuerto
BO7024,-18.08333333,-64.41666667,1560,Pulquina
BO7025,-16.68333333,-61.16666667,429,Quimome
BO7026,-18.32972222,-59.76333333,265,Robore
BO7028,-16.38166667,-60.96194444,417,San Ignacio De Velasco
BO7029,-16.27138889,-62.47083333,535,San Javier
BO7030,-17.96305556,-64.28916667,1549,San Juan Del Potrero
BO7031,-16.91583333,-62.62583333,249,San Julian
BO7035,-17.62222222,-62.2325,282,Tres Cruces
BO7036,-18.48194444,-64.10805556,1999,Vallegrande Aeropuerto
BO7038,-17.96666667,-64.03333333,1500,Yerba Buena
BO7039,-17.805,-63.17805556,426,Trompillo Aeropuerto
BO7041,-16.33166667,-58.39916667,127,San Matias
BO7042,-17.83222222,-60.74416667,287,San Jose de Chiquitos
BO7043,-17.64861111,-63.13888889,378,Viru Viru
BO7048,-17.25,-63.83333333,278,San Juan de Yapacani
BO7049,-18.08333333,-63.43333333,400,Taruma
BO7050,-18.15,-63.56666667,1334,Angostura_sc
BO7052,-18.16666667,-63.95,1650,Samaipata
BO7053,-18.33333333,-63.95,1510,Quirusillas
BO7055,-19.78333333,-63.08333333,690,Itaguazurenda
BO7058,-18.08333333,-64.35,1986,El Quinhe
BO7061,-17.23333333,-63.2,278,General Saavedra
BO7062,-18.08333333,-64.15,1658,Santa Ana - Santa Cruz
BO7063,-17.46666667,-63.68333333,347,El Cairo
BO7064,-17.59083333,-63.52361111,380,Villa Diego
BO7068,-15.3119,-61.4367,253,San Francisco_Sc
BO7069,-16.81666667,-63.48333333,223,San Pedro_Sc
BO7070,-17.88333333,-64.21666667,1797,Santa Rosa de Lima_Sc
BO7071,-17.76666667,-63.06666667,325,Guapilo
BO7072,-19.42083333,-63.5275,960,Gutierrez
BO7073,-17.63333333,-62.23333333,281,Pailon
BO7074,-13.65055556,-61.80777778,180,Piso Firme
BO7075,-20,-63.18333333,644,San Antonio_Sc
BO7077,-19.78444444,-63.19722222,735,Charagua
BO7082,-17.76666667,-63.15,411,Vallecito
BO7083,-15.9,-61.43333333,374,Santa Rosa de Roca
BO7084,-17.11666667,-63.6,268,Santa Rosa del Sara
BO7087,-18.3,-63.8,1510,San Juan del Rosario SEARPI
BO7092,-18.1,-63.63333333,1209,Bermejo SEARPI
BO7101,-17.96666667,-63.46666667,733,Granja Espejos
BO7102,-17.86666667,-63.31666667,469,La Guardia
BO7104,-17.93333333,-63.78333333,450,Peroto
BO7116,-17.66666667,-63.63333333,380,San Isidro
BO7118,-17.33333333,-63.31666667,292,El Patuju
BO7121,-17.33333333,-63.38333333,317,Montero SEARPI
BO7142,-17.5,-63.16666667,331,Albosa
BO7143,-18.1,-63.63333333,1000,Bermejo_Sc
BO7146,-17.78333333,-63.16666667,417,Santa Cruz SENAMHI
BO7147,-17.96666667,-63.28333333,550,Colonia San Carlos
BO7148,-17.83333333,-63.16666667,600,Colonia San Juan
BO7153,-17.9,-64.05,1250,El Carmen
BO7154,-19.98333333,-63.03333333,600,Floresta
BO7157,-17.55,-63.21666667,348,La Belgica
BO7164,-18.16666667,-63.86666667,1630,Samaipata SEARPI
BO7173,-18.5,-60.33333333,624,Santiago de Chiquitos
BO7177,-17.71666667,-63.38333333,420,Terevinto
BO7180,-17.63333333,-63.08333333,353,Versalles
BO7186,-18.45,-63.21666667,525,Mora
BO8001,-10.883831,-65.381009,141,Guayaramerin Aeropuerto
BO8003,-13.26111111,-64.05972222,144,Magdalena
BO8004,-13.04722222,-64.66583333,139,San Joaquin
BO8006,-13.76166667,-65.43444444,143,Santa Ana
BO8007,-14.82333333,-64.91638889,156,Trinidad Aeropuerto
BO8008,-11.00666667,-66.07611111,135,Riberalta
BO8010,-14.96666667,-65.63333333,165,San Ignacio De Moxos
BO8011,-14.85833333,-66.73861111,194,San Borja
BO8012,-14.30277778,-67.35277778,280,Reyes
BO8015,-13.26444444,-64.60555556,139,San Ramon
BO9002,-11.03972222,-68.78027778,227,Cobija Aeropuerto
BR1061003,-10.5169,-62.0014,184,RONDOMINAS_BARROCAS
BR1063000,-10.505,-63.6461,179,ESCOLA CARAMURA
BR1063001,-10.35,-63.4167,264,MINERAO PONTE MASSANGANA
BR1068000,-10.6497,-68.5067,173,XAPURI
BR1161002,-11.7497,-61.7764,220,ROLIM DE MOURA
BR1360001,-13.1967,-60.8233,257,CEREJEIRA
BR1457001,-14.96,-57.4686,215,TANGARO DA SERRA
BR1556007,-15.6989,-56.1336,166,SANTA EDWIGES
BR1559000,-15.2156,-59.3536,229,PONTES E LACERDA
BR1560000,-15.4003,-60.0317,202,FAZENDA AREIAO
BR1653002,-15.64722222,-52.23916667,347,GUIRATINGA
BR1656002,-16.3147,-56.5436,123,POCON
BR1657004,-16.0392,-57.2575,155,FLECHAS
BR1754000,-17.2078,-54.14,520,ITIQUIRA
BR1755000,-17.4917,-55.2322,177,SANTO ANTONIO DO PARASO
BR1853000,-17.8114,-53.2889,879,FAZENDA TAQUARI
BR1854004,-18.5042,-54.7556,215,COXIM
BR1857000,-17.99583333,-56.32833333,123,CORUMBA
BR1954004,-19.5336,-54.0356,408,CAMAPU
BR1956001,-19.1733,-56.7122,98,PARASO
BR1956004,-19.0033,-56.0889,124,CAMPO ALTO
BR1957006,-19.6008,-57.4367,81,PORTO ESPERANZA
BR2057000,-20.2908,-57.6478,81,TARUMO
BR2155001,-21.1497,-55.825,212,NIOAQUE
BR962000,-9.5864,-62.3939,177,MINERAO ORIENTE NOVO
BR966001,-9.6903,-65.9931,139,PEDREIRAS
BR967004,-9.5008,-67.2822,167,RESTAURANTE PORTEIRA DO AMAZONAS
BR967005,-9.8881,-67.1392,178,SANTA ROSA
BR968004,-9.5667,-68.2833,174,FAZENDA CANARI
CH401,-19.2289,-68.8044,3925,Cancosa
CH402,-20.0531,-68.8075,4024,Enquelca
CH403,-22.1147,-68.3167,3404,Colchane
CH404,-18.4983,-69.1547,4256,Inacaliri
CH405,-20.7086,-68.6942,3770,El Tatio
CH406,-18.2353,-69.1833,4558,Linzor
